Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%)
 World,"Serbia, FR(Serbia/Montenegro)",2018,Export,Animal,731467.14,1.7,1,17.86,17.86
 World,Singapore,2018,Export,Animal,2995638.71,0.86,1,0.94,0.94
 World,South Georgia and the South Sa,2018,Export,Animal,7.98,2.56,,,
 World,Saint Helena,2018,Export,Animal,2069.66,3.16,,,
 World,Solomon Islands,2018,Export,Animal,26982.58,5.48,1,9.91,9.91
 World,Sierra Leone,2018,Export,Animal,47801.86,3.69,,,
 World,El Salvador,2018,Export,Animal,334180.1,3.78,1,1.49,1.49
 World,San Marino,2018,Export,Animal,7379.46,1.2,,,
 World,Somalia,2018,Export,Animal,192606.06,5.4,,,
 World,Special Categories,2018,Export,Animal,237476.49,0.4,,,
 World,Saint Pierre and Miquelon,2018,Export,Animal,4994.02,5.85,,,
 World,South Sudan,2018,Export,Animal,9189.39,1,,,
 World,Sao Tome and Principe,2018,Export,Animal,13106.57,6,1,0.2,0.2
 World,Sudan,2018,Export,Animal,101522.34,1.19,,,
 World,Suriname,2018,Export,Animal,68058.41,4.19,1,6.81,6.81
 World,Slovak Republic,2018,Export,Animal,1430884.57,1.81,1,4.45,4.45
 World,Slovenia,2018,Export,Animal,633705.01,1.51,1,4.22,4.22
 World,Sweden,2018,Export,Animal,3160762.37,2.05,1,4.54,4.54
 World,Eswatini,2018,Export,Animal,57571.26,3.24,,,
 World,Saint Maarten (Dutch part),2018,Export,Animal,47111.99,4.59,,,
 World,Seychelles,2018,Export,Animal,180858.49,14.1,1,-0.22,-0.22
 World,Syrian Arab Republic,2018,Export,Animal,227954.52,3.11,,,
 World,Turks and Caicos Isl.,2018,Export,Animal,19915.46,3.92,,,
 World,Chad,2018,Export,Animal,11862.73,0.95,,,
 World,Togo,2018,Export,Animal,89365.12,0.56,,,
 World,Thailand,2018,Export,Animal,4223700.84,1.91,1,4.13,4.13
 World,Tajikistan,2018,Export,Animal,38278.6,0.99,,,
 World,Tokelau,2018,Export,Animal,2720.78,7.79,,,
 World,Turkmenistan,2018,Export,Animal,86121.89,2.89,,,
 World,East Timor,2018,Export,Animal,28248.18,5.74,,,
 World,Tonga,2018,Export,Animal,28273.44,13.2,,,
 World,Trinidad and Tobago,2018,Export,Animal,247628.58,3.93,,,
 World,Tunisia,2018,Export,Animal,257530.73,0.74,,,
 World,Turkey,2018,Export,Animal,2345567.84,0.81,1,18.92,18.92
 World,Tuvalu,2018,Export,Animal,1572.95,1.78,,,
 World,Tanzania,2018,Export,Animal,68456.58,0.55,1,-11.19,-11.19
 World,Uganda,2018,Export,Animal,23199.96,0.53,1,38.18,38.18
 World,Ukraine,2018,Export,Animal,1469401.92,1.8,1,12.07,12.07
 World,United States Minor Outlying I,2018,Export,Animal,74.25,0.27,,,
 World,Unspecified,2018,Export,Animal,384363.16,0.06,,,
 World,Uruguay,2018,Export,Animal,234870.65,1.74,1,8.73,8.73
 World,United States,2018,Export,Animal,31848942.47,1.14,1,1.42,1.42
 World,Uzbekistan,2018,Export,Animal,182041.64,0.93,1,26.61,26.61
 World,Holy See,2018,Export,Animal,649.17,0.6,,,
 World,St. Vincent and the Grenadines,2018,Export,Animal,23603.1,7.36,1,1.39,1.39
 World,Venezuela,2018,Export,Animal,243333.16,2.04,,,
 World,British Virgin Islands,2018,Export,Animal,12902.77,0.59,,,
 World,Vietnam,2018,Export,Animal,10079715.24,3.71,,,
 World,Vanuatu,2018,Export,Animal,14620.85,4.42,,,
 World,Wallis and Futura Isl.,2018,Export,Animal,5412.87,9.49,,,
 World,Samoa,2018,Export,Animal,32920.6,7.88,1,-0.97,-0.97
 World,Yemen,2018,Export,Animal,413942.98,4.49,,,
 World,South Africa,2018,Export,Animal,1917938.17,1.67,1,2.92,2.92
 World,"Congo, Dem. Rep.",2018,Export,Animal,409725.68,4.89,,,
 World,Zambia,2018,Export,Animal,151835.36,2.49,1,-0.42,-0.42
 World,Zimbabwe,2018,Export,Animal,67997.47,1.64,1,2.01,2.01
